Timestamp_UTC,Timestamp_Readable,Direction
1747516940.3842514,2025-05-18 03:22:20.384,Still
1747516940.3995357,2025-05-18 03:22:20.399,Still
1747516940.4351704,2025-05-18 03:22:20.435,Still
1747516940.4663267,2025-05-18 03:22:20.466,Still
1747516940.5306513,2025-05-18 03:22:20.530,Right
1747516940.5616312,2025-05-18 03:22:20.561,Still
1747516940.5975616,2025-05-18 03:22:20.597,Still
1747516940.6245837,2025-05-18 03:22:20.624,Still
1747516940.661698,2025-05-18 03:22:20.661,Still
1747516940.6924615,2025-05-18 03:22:20.692,Still
1747516940.7387667,2025-05-18 03:22:20.738,Up
1747516940.7490363,2025-05-18 03:22:20.749,Still
1747516940.7738245,2025-05-18 03:22:20.773,Up
1747516940.8035047,2025-05-18 03:22:20.803,Still
1747516940.8321326,2025-05-18 03:22:20.832,Up
1747516940.8672605,2025-05-18 03:22:20.867,Still
1747516940.9274642,2025-05-18 03:22:20.927,Still
1747516940.9671278,2025-05-18 03:22:20.967,Still
1747516940.9937594,2025-05-18 03:22:20.993,Still
1747516941.023509,2025-05-18 03:22:21.023,Still
1747516941.0598807,2025-05-18 03:22:21.059,Down
1747516941.1040082,2025-05-18 03:22:21.104,Still
1747516941.1139524,2025-05-18 03:22:21.113,Still
1747516941.140527,2025-05-18 03:22:21.140,Still
1747516941.1721947,2025-05-18 03:22:21.172,Still
1747516941.2046895,2025-05-18 03:22:21.204,Still
1747516941.2342596,2025-05-18 03:22:21.234,Still
1747516941.2632732,2025-05-18 03:22:21.263,Still
1747516941.3282359,2025-05-18 03:22:21.328,Down
1747516941.365343,2025-05-18 03:22:21.365,Down
1747516941.3960443,2025-05-18 03:22:21.396,Down
1747516941.4295316,2025-05-18 03:22:21.429,Down
1747516941.4737117,2025-05-18 03:22:21.473,Still
1747516941.485701,2025-05-18 03:22:21.485,Still
1747516941.5081775,2025-05-18 03:22:21.508,Still
1747516941.537396,2025-05-18 03:22:21.537,Still
1747516941.5737376,2025-05-18 03:22:21.573,Still
1747516941.6042285,2025-05-18 03:22:21.604,Still
1747516941.6326199,2025-05-18 03:22:21.632,Still
1747516941.6692498,2025-05-18 03:22:21.669,Still
1747516941.7288618,2025-05-18 03:22:21.728,Still
1747516941.7641573,2025-05-18 03:22:21.764,Still
1747516941.7935233,2025-05-18 03:22:21.793,Still
1747516941.845734,2025-05-18 03:22:21.845,Still
1747516941.8590581,2025-05-18 03:22:21.859,Still
1747516941.8728611,2025-05-18 03:22:21.872,Still
1747516941.9052157,2025-05-18 03:22:21.905,Still
1747516941.9408488,2025-05-18 03:22:21.940,Still
1747516941.972158,2025-05-18 03:22:21.972,Still
1747516941.9996657,2025-05-18 03:22:21.999,Still
1747516942.0364237,2025-05-18 03:22:22.036,Still
1747516942.0652666,2025-05-18 03:22:22.065,Still
1747516942.1297889,2025-05-18 03:22:22.129,Left
1747516942.1637242,2025-05-18 03:22:22.163,Still
1747516942.2097483,2025-05-18 03:22:22.209,Still
1747516942.219836,2025-05-18 03:22:22.219,Still
1747516942.2444658,2025-05-18 03:22:22.244,Still
1747516942.2750697,2025-05-18 03:22:22.275,Still
1747516942.308911,2025-05-18 03:22:22.308,Still
1747516942.3395927,2025-05-18 03:22:22.339,Right
1747516942.3680198,2025-05-18 03:22:22.368,Right
1747516942.404869,2025-05-18 03:22:22.404,Right
1747516942.4326305,2025-05-18 03:22:22.432,Right
1747516942.4641159,2025-05-18 03:22:22.464,Right
1747516942.5297377,2025-05-18 03:22:22.529,Right
1747516942.5790906,2025-05-18 03:22:22.579,Right
1747516942.5890222,2025-05-18 03:22:22.589,Still
1747516942.6100042,2025-05-18 03:22:22.610,Still
1747516942.6447916,2025-05-18 03:22:22.644,Still
1747516942.6733575,2025-05-18 03:22:22.673,Still
1747516942.7060518,2025-05-18 03:22:22.706,Still
1747516942.7433796,2025-05-18 03:22:22.743,Still
1747516942.7709835,2025-05-18 03:22:22.770,Still
1747516942.7997186,2025-05-18 03:22:22.799,Still
1747516942.8358517,2025-05-18 03:22:22.835,Still
1747516942.8640854,2025-05-18 03:22:22.864,Still
1747516942.9484549,2025-05-18 03:22:22.948,Still
1747516942.9596438,2025-05-18 03:22:22.959,Still
1747516942.982002,2025-05-18 03:22:22.982,Still
1747516943.0103528,2025-05-18 03:22:23.010,Still
1747516943.0417106,2025-05-18 03:22:23.041,Still
1747516943.080274,2025-05-18 03:22:23.080,Still
1747516943.1052518,2025-05-18 03:22:23.105,Still
1747516943.1356997,2025-05-18 03:22:23.135,Still
1747516943.1742108,2025-05-18 03:22:23.174,Still
1747516943.2003055,2025-05-18 03:22:23.200,Still
1747516943.2368016,2025-05-18 03:22:23.236,Still
1747516943.2658064,2025-05-18 03:22:23.265,Still
1747516943.316812,2025-05-18 03:22:23.316,Still
1747516943.348578,2025-05-18 03:22:23.348,Still
1747516943.3779685,2025-05-18 03:22:23.377,Still
1747516943.4119785,2025-05-18 03:22:23.411,Still
1747516943.4406843,2025-05-18 03:22:23.440,Still
1747516943.4769106,2025-05-18 03:22:23.476,Still
1747516943.5073903,2025-05-18 03:22:23.507,Still
1747516943.5380123,2025-05-18 03:22:23.538,Still
1747516943.5718205,2025-05-18 03:22:23.571,Still
1747516943.6007757,2025-05-18 03:22:23.600,Still
1747516943.6800263,2025-05-18 03:22:23.680,Still
1747516943.689961,2025-05-18 03:22:23.689,Still
1747516943.7481694,2025-05-18 03:22:23.748,Still
1747516943.7578428,2025-05-18 03:22:23.757,Still
1747516943.8124704,2025-05-18 03:22:23.812,Still
1747516943.8224442,2025-05-18 03:22:23.822,Still
1747516943.871871,2025-05-18 03:22:23.871,Still
1747516943.8819082,2025-05-18 03:22:23.881,Still
1747516943.938003,2025-05-18 03:22:23.938,Still
1747516943.949748,2025-05-18 03:22:23.949,Still
1747516944.002766,2025-05-18 03:22:24.002,Still
1747516944.0138454,2025-05-18 03:22:24.013,Still
1747516944.0844064,2025-05-18 03:22:24.084,Still
1747516944.0947154,2025-05-18 03:22:24.094,Still
1747516944.149763,2025-05-18 03:22:24.149,Still
1747516944.160537,2025-05-18 03:22:24.160,Still
1747516944.209116,2025-05-18 03:22:24.209,Still
1747516944.22043,2025-05-18 03:22:24.220,Still
1747516944.2729902,2025-05-18 03:22:24.272,Backward
1747516944.2833123,2025-05-18 03:22:24.283,Still
1747516944.3397002,2025-05-18 03:22:24.339,Still
1747516944.3512576,2025-05-18 03:22:24.351,Still
1747516944.4045665,2025-05-18 03:22:24.404,Still
1747516944.4140215,2025-05-18 03:22:24.414,Still
1747516944.482879,2025-05-18 03:22:24.482,Still
1747516944.4925025,2025-05-18 03:22:24.492,Still
1747516944.549962,2025-05-18 03:22:24.549,Still
